,sentence,term,page_number,file_name,word,tag,word_labels
50016,գիմք ընդունելով ձեռագրում տվյալ միավորի խորագիրը որ է տետրակ արձանագրութեանց սրբոյ վանիցն հառիճոյ ի ամի եւ նոյեմբեր ս տեր ստեփանյանը բոլոր վիմագրերը վերագրել է հառիճավանքին մինչդեռ դրանցից ը լմբատավանքիցեն,վիմագրերը,,Divabn_Prak10,գիմք,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50017,նախորդ հրատարակիչը վիմագրի ծանոթագրության մեջ առաջադրում է մեր կարծիքով հնարավոր վարկած հայտնի է որ աշոտ գողորմածի որդիներից գուրգեն ա բագրատունին ստանալով տաշիրը և չձորագետը թ հիմք դրեց լոռվա կյուրիկյան թագավորությանը,Վիմագիր,,Divabn_Prak10,նախորդ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50018,ոմն առյուծի հայր սխիթար ճոն հիշատակված է նաև արջոառիմի գավթի նվիրատվական վիմագրերից մեկում աշխարհբեկ քալանթար երջան տեկորի արշավախմբի էջ,վիմագրերից,,Divabn_Prak10,ոմն,O,"O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,I-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50019,պրակն ընդգրկում է գհեիրակի մարզի վիմական արձանագրությունները,վիմական արձանագրությունները,,Divabn_Prak10,պրակն,O,"O,O,O,O,O,B-INSC,I-INSC"
50020,արևելյան նիրակի ներկայիս հ շիրակի մարզ վիմագիր ժառանգությանն է նվիրված երջանկահիշատակ սեդրակ բարխուդարյանի կազմած ձեռագիր պրակը որի հրատարակմանը ձեռնամուխ եղավ գաս հնագիտության և ազգագրության ինստիտուտի վիմագրության բաժինը,վիմագիր,,Divabn_Prak10,արևելյան,O,"O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50021,վիմագրերի առաջին հրատարակիչ ս ջզալալյանցն այս վանքից նախկինում հրատարակել է արծանագրություն ղ լիշանը ս գորգյանցը եղիազարյանը վիմագիր հրատարակել է վիմագրագետ ալ սանուչարյանը ևս արձանագրություն հիշատակում է թ թորամանյանը,Վիմագիր,,Divabn_Prak10,վիմագրերի,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50022,վիմագիրը փորագրված է բավական վերևում և որոշ հատվածներ հատկապես վերջին երկու տողերը կիսեղծ են,վիմագիրը,,Divabn_Prak10,վիմագիրը,B-INSC,"B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O"
50023,առաջին հայացքից ընթեռնելի թվացող վիմագրում մի շարք հատվածներ կիսեղծ են և խիստ դժվար վերծանելի ըստ այդմ հատկապես գրչագրի և վերծանության վերջին երեք տողերում առկա են պայմանականութեականբառերևտառակապակցություններ,Վիմագիր,,Divabn_Prak10,առաջին,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50024,մեզ անհայտ պատճառով մարմաշենի վանքի և ձերծակայքի վիմագրերը տեղ չեն գտել ս բարխուդարյանի ձեռագիր ժողովածուում դրանք առկա չեն նաև դաշտային օրագրում,վիմագրերը,,Divabn_Prak10,մեզ,O,"O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50025,ծանոթ վիմագիրն ամփոփում էեկեղեցու շինարարության մանրամասները համածայն որոնց սկզբնապես ս աստվածածին ապաս նշան անվանափոխված եկեղեցու կառուցման նախածեռնությունը պատկանում է արղության երկայնաբազուկ նշանավոր իշխանական տոհմի շառավիղներից ղահրամանին,Վիմագիր,,Divabn_Prak10,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50026,հնագետ եղիազարյանը հավանական է համարում որ անեցու հիշատակած թվականներին կառուցվել է կաթողիկեն իսկ վիմագրում վկայված տարեթվերը վերաբերում են միաժամանակ կառուցված մի քանի շինություններին որ են հյուսիսային եկեղեցին ու կաթողիկեին արևմուտքից կից գավիթը,վիմագրում,,Divabn_Prak10,հնագետ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50027,ծանոթ ապուղամը մագիստրոսը հայրն է անիի և ծիրակի արքեպիսկոպոս գրիգորի որը հիշատակված է բթ վիմագրերում,վիմագրերում,,Divabn_Prak10,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC"
50028,ծանոթ վիմագիրը մկրտիչ ս խրիմյան հայրիկի օրոք իրականացված շինարարական աշխատանքների քարեղեն ապացույցն է միաթռիչք կամուրջը կառուցվել է ոմն գասպար սողոմոնյանի միջոցներով ու ջանասիրությամբ իսկ որմնադիրը այսինքն՝ պատշարը ակոբ ապաջյաննէ,վիմագիրը,,Divabn_Prak10,ծանոթ,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
