sentence,term,page_number,file_name,word,tag,word_labels
հայկական սսռ գիտությունների ակադեմիայի պատմության ինստիտուտը րոջել է հավաքել և հրատարակել հայկական վիմագիր արձանագրությունների լրիվ ժողովածու,Վիմագիր,6.0,Divan_Prak2,հայկական,O,"O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O"
ցահկեր ցանկ վիմական արձանադրությունների մեջ գործածված անձնանունների,վիմական արձանադրությունների,241.0,Divan_Prak2,ցահկեր,O,"O,O,B-INSC,I-INSC,O,O,O,O,O,O,O,O,O,O"
գլուղի կենարոնում կա նաև մի փոքրիկ թաղածածկ եկեղեցու ավերակ որի բակում եղած տապանաքարն ունեցել է արձանագրություն այժմ այն մնացել է փլատակների տակ,տապանաքարային արձանագրություն,110.0,Divan_Prak3,գլուղի,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-INSC,O,O,O,O,O,O"
արևելյան եղրի գերեզմանատան մեջ՝ իրար կողքի որոնց վրա իրար կցված երեք արձանագրություններ,Գերեզմանատան արձանագրություն,118.0,Divan_Prak3,արևելյան,O,"O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
շինարարական արձանագրությունների բացակալության պատճառով հնարավոր չէ որոշել նաև շենքերի ճիշտ թվականը,շինարարական արձանագրությունների,124.0,Divan_Prak3,շինարարական,B-INSC,"B-INSC,I-INSC,O,O,O,O,O,O,O,O,O"
հարավալին դմբեթավոր եկեղեցին ես շինարարական արձանագրութլուն չունի,շինարարական արձանագրութլուն,125.0,Divan_Prak3,հարավալին,O,"O,O,O,O,B-INSC,I-INSC,O"
նանոր հավանարար դոփլան գրիղոր ր խաչենի իշխանի և նրա ամուսին ասփայի նվիրատվական արձանագրության մասն է նրանք վալոց ձորի ուրիշ վանքերին ևս նվիրաբերություններ են արել գրիգորը մեռել է թ քիչ հեառ իսկ ասփան՝ թ լուսանկ,նվիրատվական արձանագրության,141.0,Divan_Prak3,նանոր,O,"O,O,O,O,O,O,O,O,O,O,O,B-INSC,I-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
թ թվականը իսկ մուտքի րարավորի վրա նվիրատվական արձանագրություն ոկ,նվիրատվական արձանագրություն,144.0,Divan_Prak3,թ,O,"O,O,O,O,O,O,B-INSC,I-INSC,O"
դրանցից մի քանիսն իրենց վրա կրում են վանքի շինարարական մեծ արձանագրության մասերը,շինարարական մեծ արձանագրության,172.0,Divan_Prak3,դրանցից,O,"O,O,O,O,O,O,O,O,B-INSC,I-INSC,I-INSC,O"
գավթի արևմայան պատի մեջ ագուցված երեսպատման քար հին հուշարձանի շինարարական արձանագրության մաս ներքուստ տող,շինարարական արձանագրության,178.0,Divan_Prak3,գավթի,O,"O,O,O,O,O,O,O,O,O,B-INSC,I-INSC,O,O,O"
