sentence,term,word,tag,word_labels
ափարի ամիրեանց կին նախշքար գասպարի հիշատակված է,,ափարի,O,"O,O,O,O,O,O,O"
Թարգմանությամբ ուսումնասիրվեց հունարեն-հայերեն հարկային արձանագրություն՝ միջսահմանային առևտրի մասին.,հարկային արձանագրություն ,Թարգմանությամբ,O,"O,O,O,B-INSC,O,O,O,O"
ծանոթ հասկացվում է որ ինչ որ մեկը թողել է գյուղի շարիատ կոչվող հարկն իր մոր հիշատակին,,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
շէն թաղք բագարան ջաղաց տարուս,,շէն,O,"O,O,O,O,O"
ծանոթ օրբելու հրատարակության մեջ չորրորդ տողի սկզբում վրիպվել է նախորդ զխաչին բառի ին մասնիկը,,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O"
հ եղիազարյանը ողորմես բառից հետո կարդացել է նինողաց իսկ գ հառիճեցին չի կարդացել վերջին եկեղեցոյս բառը,,հ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Ժամատան արձանագրություն պահպանվել է փոքր մատուռի ներսի պատին՝ ժամերգությունների կարգի մասին նշումներով.,Ժամատան արձանագրություն ,Ժամատան,B-INSC,"B-INSC,I-INSC,O,O,O,O,O,O,O,O,O,O"
գյուղը հարուստ չէ հուշարծաններով,,գյուղը,O,"O,O,O,O"
եղբարքս սազցենէձռք լ տառնի տպաւսկի մի մատուն ստարսգել զքս զնոին գրիգորոք փոխակ րդ վեան իխրոֆ կատարեն գերզնեցև եղիէին էդ որք ոչ հզովս ժաաւգխէսցեն քէ թին ոխս,,եղբարքս,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
գխավոր տաշար հյուսիսային ավանդատան մուտքի վերևում ներքուստ տող,,գխավոր,O,"O,O,O,O,O,O,O,O"
ակո յո ե կոբվ ճէ է ր ին ն,,ակո,O,"O,O,O,O,O,O,O,O,O"
Ավանդույթների ուսումնասիրողը հրապարակեց հիշատակագրային վիմագիր և համադրեց հարավային դպրոցի օրինակների հետ.,հիշատակագրային վիմագիր ,Ավանդույթների,O,"O,O,O,B-INSC,I-INSC,O,O,O,O,O,O"
րատ խիթարյանց հառիճ իշան շիրակ գէորգեանց եղիազարյան էջմիածին ա քյուրտյան բազմավէպ,,րատ,O,"O,O,O,O,O,O,O,O,O,O,O"
նրանց ստեղծագործությունների լուռ վկաներն են քաղաքի փողոցները հարդարող շենքերը,,նրանց,O,"O,O,O,O,O,O,O,O,O"
խնդրահարույց էնաև երկրորդև երրորդ տողերի ամբողջ բառակապակցու,,խնդրահարույց,O,"O,O,O,O,O,O,O"
չպահպանված արձանագրությունների կարգային համարներին աստղանիշ էդրված,,չպահպանված,O,"O,O,O,O,O,O"
տապանաքար գլխավոր տաճարի մուտքի ձախ կողմում հարավային նիստին տող,,տապանաքար,O,"O,O,O,O,O,O,O,O,O"
կամնէն մեք զառիձեիք,,կամնէն,O,"O,O,O"
գրիգոր հայր վահրամ պահլավունու հիշատակվածէ,,գրիգոր,O,"O,O,O,O,O"
Արխիվում պահպանվում է Օրհնագիր՝ օրհնության երկար շարքով և օրացույցային հիշատակով.,Օրհնագիր ,Արխիվում,O,"O,O,O,O,O,O,O,O,O,O"
հրատ մխիթարյանց տեղագրութիւն ալիշան նիրակ գէորգեանց բասմաջյան հաաբմ եղիազարյան էջմիածին ե,,հրատ,O,"O,O,O,O,O,O,O,O,O,O,O"
