sentence,term,word,tag,word_labels
գիմք ընդունելով ձեռագրում տվյալ միավորի խորագիրը որ է տետրակ արձանագրութեանց սրբոյ վանիցն հառիճոյ ի ամի եւ նոյեմբեր ս տեր ստեփանյանը բոլոր վիմագրերը վերագրել է հառիճավանքին մինչդեռ դրանցից ը լմբատավանքիցեն,վիմագրերը,գիմք,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
նախորդ հրատարակիչը վիմագրի ծանոթագրության մեջ առաջադրում է մեր կարծիքով հնարավոր վարկած հայտնի է որ աշոտ գողորմածի որդիներից գուրգեն ա բագրատունին ստանալով տաշիրը և չձորագետը թ հիմք դրեց լոռվա կյուրիկյան թագավորությանը,Վիմագիր,նախորդ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ոմն առյուծի հայր սխիթար ճոն հիշատակված է նաև արջոառիմի գավթի նվիրատվական վիմագրերից մեկում աշխարհբեկ քալանթար երջան տեկորի արշավախմբի էջ,վիմագրերից,ոմն,O,"O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,I-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
պրակն ընդգրկում է գհեիրակի մարզի վիմական արձանագրությունները,վիմական արձանագրությունները,պրակն,O,"O,O,O,O,O,B-INSC,I-INSC"
արևելյան նիրակի ներկայիս հ շիրակի մարզ վիմագիր ժառանգությանն է նվիրված երջանկահիշատակ սեդրակ բարխուդարյանի կազմած ձեռագիր պրակը որի հրատարակմանը ձեռնամուխ եղավ գաս հնագիտության և ազգագրության ինստիտուտի վիմագրության բաժինը,վիմագիր,արևելյան,O,"O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
վիմագրերի առաջին հրատարակիչ ս ջզալալյանցն այս վանքից նախկինում հրատարակել է արծանագրություն ղ լիշանը ս գորգյանցը եղիազարյանը վիմագիր հրատարակել է վիմագրագետ ալ սանուչարյանը ևս արձանագրություն հիշատակում է թ թորամանյանը,Վիմագիր,վիմագրերի,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
վիմագիրը փորագրված է բավական վերևում և որոշ հատվածներ հատկապես վերջին երկու տողերը կիսեղծ են,վիմագիրը,վիմագիրը,B-INSC,"B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O"
առաջին հայացքից ընթեռնելի թվացող վիմագրում մի շարք հատվածներ կիսեղծ են և խիստ դժվար վերծանելի ըստ այդմ հատկապես գրչագրի և վերծանության վերջին երեք տողերում առկա են պայմանականութեականբառերևտառակապակցություններ,Վիմագիր,առաջին,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
մեզ անհայտ պատճառով մարմաշենի վանքի և ձերծակայքի վիմագրերը տեղ չեն գտել ս բարխուդարյանի ձեռագիր ժողովածուում դրանք առկա չեն նաև դաշտային օրագրում,վիմագրերը,մեզ,O,"O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ծանոթ վիմագիրն ամփոփում էեկեղեցու շինարարության մանրամասները համածայն որոնց սկզբնապես ս աստվածածին ապաս նշան անվանափոխված եկեղեցու կառուցման նախածեռնությունը պատկանում է արղության երկայնաբազուկ նշանավոր իշխանական տոհմի շառավիղներից ղահրամանին,Վիմագիր,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
